;parameters;parameters with noise
0;"[-3.92165117e-01 -8.74831488e-08  1.61903375e-08  1.56479686e+00
  1.03978399e-01  1.59721516e+00]";"[-4.23139732e-01  3.81799169e-08 -4.01301399e-08  1.59424070e+00
  1.17878680e-04  1.43919903e+00]"
1;;"[-4.21258723e-01 -6.17657952e-07 -1.30815847e-07  1.55819237e+00
 -2.38875601e-05  1.53523891e+00]"
2;"[-4.40321941e-01  3.86090180e-10 -9.73503202e-11  1.00252993e+00
  4.10395297e-02  1.39991631e+00]";"[-2.81092849e-01 -7.64274325e-06 -1.86120676e-06  1.89261756e+00
  3.94478334e-02  6.50195775e-01]"
3;"[-4.23484584e-01 -1.88611934e-09  2.29249644e-09  1.53059548e+00
  3.87404089e-03  1.50315848e+00]";"[-4.21495907e-01  3.66375142e-06 -8.66480794e-06  1.52993559e+00
  4.39552807e-02  1.58021733e+00]"
4;"[-4.21264970e-01 -5.71905836e-04  4.96890901e-08  1.57900575e+00
 -1.98500526e-07  1.51037057e+00]";"[-4.37091337e-01 -2.92522356e-07 -1.93615438e-06  1.15617206e+00
 -3.65406579e-08  1.42757648e+00]"
5;"[-4.20412592e-01  6.71360893e-06 -1.21481739e-11  1.56814327e+00
  5.38693312e-09  1.55946495e+00]";"[-4.20334057e-01 -3.87943647e-06 -2.94282431e-06  1.55816359e+00
 -1.73251324e-04  1.56795943e+00]"
6;"[-2.81185562e-01  8.07220741e-11  6.76320847e-10  7.25704679e-01
  2.46858010e-02  1.87141678e+00]";"[-4.65768800e-01 -1.04334059e-06  2.21194056e-06  1.21810023e+00
  6.44446209e-01  6.87425413e-01]"
7;"[-2.33040997e-01  9.43302911e-06  2.85334695e-06  9.19749650e-01
  5.73495578e-02  1.33099434e+00]";
8;"[-4.13697842e-01 -3.26454972e-08  3.54369399e-08  1.05441921e+00
  3.52911805e-02  1.24672945e+00]";
9;"[-4.16236558e-01  1.62339907e-07 -3.41883134e-07  1.57848208e+00
  6.08403523e-04  1.56044463e+00]";
10;;"[-2.12829585e-01 -1.01169363e-07 -1.41067450e-06  1.08327790e+00
  5.57226332e-03  1.77796054e+00]"
11;"[-4.21214759e-01 -5.23896084e-10 -6.93774030e-10  1.57599625e+00
  6.98760332e-04  1.53705127e+00]";
12;"[-4.19897249e-01 -3.74124091e-05  8.59580654e-08  1.56849435e+00
  1.78358002e-04  1.55963386e+00]";
13;"[-4.28403214e-01 -2.58404388e-09  5.37351007e-10  1.65494118e+00
  1.08800933e-01  1.15915010e+00]";
14;"[-4.21457401e-01 -1.28995583e-07  5.30184772e-08  1.57886128e+00
  4.68890325e-03  1.51856956e+00]";"[-4.28561252e-01 -4.05021430e-07  2.36980105e-07  1.57204143e+00
  8.24404547e-03  1.28594213e+00]"
15;;"[-4.23580907e-01 -6.66651320e-07 -1.85903414e-06  1.59861668e+00
  1.58228825e-01  1.41809918e+00]"
16;"[-2.72716239e-01 -2.62634536e-05 -4.83593296e-06  1.48397881e+00
  1.43473562e-02  1.67574473e+00]";
17;"[-7.01980705e-01  2.44923087e-06  1.46889118e-06  8.12474402e-01
 -5.82889674e-03  4.65205307e-01]";"[-4.19831193e-01 -8.80162844e-06 -2.05589351e-05  1.55584592e+00
 -1.07292707e-04  1.57012798e+00]"
18;"[-4.22684976e-01  1.00807132e-05  1.14231921e-07  1.58961287e+00
  3.04538307e-06  1.46667788e+00]";"[-1.97379311e-01 -1.74304151e-07  3.10000488e-07  1.69410430e+00
  1.34077768e-03  1.44567493e+00]"
19;"[-4.22739732e-01 -1.79665033e-08 -4.82121041e-09  1.59074303e+00
  1.29967740e-03  1.45349722e+00]";"[-4.24460393e-01  5.61231214e-06 -2.07978488e-09  1.61227668e+00
 -1.02462310e-05  1.32697282e+00]"
