;parameters;standard deviation;distance;eps
0;"[-4.21513454e-01  3.63201661e-07  8.85179968e-07  1.48974502e+00
  7.15057820e-03  1.58528332e+00]";0.0;0.781072841215811;0.0
1;"[-2.52041074e-01  1.60545179e-07  3.04544195e-09  1.50747265e+00
  6.03709371e-08  1.67265558e+00]";3.3456637055841406e-12;0.642854775407173;1e-10
2;"[-4.23796709e-01  2.43862904e-07 -1.26663715e-06  1.49330458e+00
  1.30730444e-07  1.54053052e+00]";3.345663705584141e-11;0.8046465748654501;1e-09
3;;;;
4;"[-4.20152265e-01 -2.72094694e-10  4.88648296e-09  1.57726551e+00
  2.06141040e-01  1.50465923e+00]";3.345663705584141e-09;0.8019282933052199;1e-07
5;"[-4.25088061e-01 -5.29150947e-08  1.09484020e-07  1.41292366e+00
  9.80336225e-03  1.52244804e+00]";3.345663705584141e-08;0.868049807914601;1e-06
6;"[-4.20401945e-01 -1.90118442e-06 -6.75892412e-08  1.56820691e+00
  2.94460632e-02  1.56067521e+00]";3.3456637055841407e-07;0.746362115516561;9.999999999999999e-06
7;"[-4.15037781e-01  1.31401363e-05  1.67500450e-05  1.57471354e+00
  1.06898215e-02  1.52523727e+00]";3.3456637055841406e-06;0.7606831453432398;9.999999999999999e-05
8;"[-4.45602501e-01 -3.00350050e-05  2.71999897e-05  8.92428723e-01
  2.00052429e-01  1.43331672e+00]";3.345663705584141e-05;1.336572722900554;0.001
9;"[-4.20309544e-01  1.27642809e-04  1.65279090e-04  1.56725119e+00
  4.63750913e-04  1.56132141e+00]";0.0003345663705584141;0.7459026782079579;0.01
10;;;;
